siren,entreprise,ville,departement,site_web,is_down,down_reason,response_time_ms,is_slow,has_blog,blog_url,agence_detectee,agence_nom,annee_copyright,site_ancien,reseaux_sociaux,signal,priorite_score
379124779,NAUTITECH CATAMARANS,ROCHEFORT,17,https://www.nautitechcatamarans.com/,False,,940.0,False,True,/fr/actualites-et-evenements.html,False,,,False,"Facebook|https://fr-fr.facebook.com/NautitechCat/, Instagram|https://www.instagram.com/nautitechcatamarans/?hl=fr, YouTube|https://www.youtube.com/channel/UCpMJzXi5EZvMjPF6FdnYeGQ",ok,6.0
514815844,NEEL TRIMARANS,LA ROCHELLE,17,https://www.neel-trimarans.com/,False,,1266.0,False,True,https://www.neel-trimarans.com/news-and-reviews/,False,,,False,"Facebook|https://www.facebook.com/neeltrimarans/, Twitter|https://twitter.com/neeltrimarans, Instagram|https://www.instagram.com/neeltrimarans_official/?hl=fr, YouTube|https://www.youtube.com/channel/UCAFnRZZiNuug-k9TNDH_sEw",ok,6.0
815131842,PINBALL BOAT,LE CHATEAU D'OLERON,17,https://www.pinball-boat.com/,False,,424.0,False,True,/fr/actualites,False,,,False,,ok,6.0
830434809,RM YACHTS,PERIGNY,17,https://www.rm-yachts.com/,False,,1097.0,False,True,https://www.rm-yachts.com/newsletter-rm-yachts/,False,,,False,"Facebook|https://www.facebook.com/rmyachts, Instagram|https://www.instagram.com/rmyachts/?hl=fr, Twitter|https://twitter.com/RMYachts, YouTube|https://www.youtube.com/channel/UCKtuvSWdze68UqiXwID-DLg/videos",ok,6.0
313781650,SA CHANTIERS AMEL,PERIGNY,17,https://amel.fr/,False,,994.0,False,True,https://amel.fr/actualites/,False,,2025.0,False,"Facebook|https://www.facebook.com/AmelYachts, Instagram|https://www.instagram.com/amelyachts/, YouTube|https://www.youtube.com/channel/UCYAbSsQcVxNKUHZyBOtCx2Q",ok,6.0
395237522,SARL LECAMUS,LA ROCHELLE,17,https://www.lecamus.com/,False,,429.0,False,True,https://www.lecamus.com/actualitésimocahumanebac,False,,,False,,ok,6.0
518336623,SEALVER,SANGUINET,40,https://sealver.com/,False,,265.0,False,True,https://sealver.com/press-articles-news-sealver-waveboat/,False,,,False,"Facebook|https://www.facebook.com/sealver.waveboat/, Instagram|https://www.instagram.com/sealver_waveboat/, YouTube|https://www.youtube.com/c/sealverwaveboat, LinkedIn|https://fr.linkedin.com/company/sealver, Twitter|https://twitter.com/Sealverwaveboat",ok,6.0
348116971,SOCIETE FOURAS AIX,ILE-D'AIX,17,https://www.liaison-maritime-fouras-aix.com/,False,,507.0,False,True,https://www.liaison-maritime-fouras-aix.com/blog/,False,,,False,"Facebook|https://www.facebook.com/profile.php?id=61570848885762, Instagram|https://www.instagram.com/liaison_maritime_fouras_aix/, X|https://x.com/FourasAix",ok,6.0
921329926,SPL D EXPLOITATION DU PORT DEPARTEMENTAL DE SAINT-JEAN-DE-LUZ-CIBOURE,CIBOURE,64,https://www.port-saintjeandeluz-ciboure.com/,False,,229.0,False,True,https://www.port-saintjeandeluz-ciboure.com/actualites/,False,,,False,,ok,6.0
421800897,STRATO COMPO,GRAYAN-ET-L'HOPITAL,33,https://www.stratocompo.com/,False,,298.0,False,True,/actualites-composites/,False,,2026.0,False,Facebook|https://www.facebook.com/STRATO-COMPO-stratifi%C3%A9s-composites-369798103155649/,ok,6.0
507978369,SURVITEC SAS,CHEVANCEAUX,17,https://survitecgroup.com/,False,,508.0,False,True,/media/news,False,,2026.0,False,"Facebook|https://www.facebook.com/Survitec, LinkedIn|https://www.linkedin.com/company/survitec, YouTube|https://www.youtube.com/@SurvitecChannel",ok,6.0
418756136,TECK INOX,LA ROCHELLE,17,https://www.teck-inox.com/,False,,1038.0,False,True,https://www.teck-inox.com/blog/,False,,,False,X|https://www.teck-inox.com/,ok,6.0
903120418,UCHIMATA SERVICES,LA ROCHELLE,17,https://uchimata-shop.fr/,False,,801.0,False,True,https://uchimata-shop.fr/blog.html,False,,,False,,ok,6.0
347987901,BOLUDA LA ROCHELLE,LA ROCHELLE,17,https://boluda.fr/,False,,666.0,False,True,https://boluda.fr/media,True,Exprimer Bienvenue Société Nos services Flotte QHS,,False,,ok,6.5
413843319,GRASSI BATEAUX SARL,LA ROCHELLE,17,https://www.grassibateaux.com/,False,,597.0,False,True,https://www.grassibateaux.com/actualites/,True,La Petite Boite,,False,"X|https://www.grassibateaux.com, Facebook|https://www.facebook.com/grassi.bateaux, Instagram|https://www.instagram.com/grassibateaux17000",ok,6.5
